question,references,corpus_id
How can you remove columns in Notion?,"[{""content"": ""To remove columns, simply do the reverse of the action you took to create them"", ""start_index"": 1184, ""end_index"": 1262}, {""content"": ""Click the\u22ee\u22eeicon and hold to drag the content in your right-hand column back under or above the content in the left-hand column"", ""start_index"": 1263, ""end_index"": 1389}, {""content"": ""When you see the blue guide span the width of the page, drop it and the columns should disappear"", ""start_index"": 1391, ""end_index"": 1487}]",raw_articles/article_13.txt
How can you change the color of text in Notion?,"[{""content"": ""The easiest way to do this is to type that handy/followed by the name of the color you want to write in, like /red"", ""start_index"": 2639, ""end_index"": 2753}, {""content"": ""You can also change the color of a text block by typingcmd/ctrl+/at any point and then the name of the color you want followed byenter"", ""start_index"": 2754, ""end_index"": 2888}]",raw_articles/article_14.txt
What options are available for managing backlinks in Notion?,"[{""content"": ""For\u00a0backlinks, you can choose:Expanded:See all the pages that link to the current page listed in full"", ""start_index"": 3719, ""end_index"": 3820}, {""content"": ""Show in popover:In case you don't want to see all the pages, you can choose to see just the number of backlinks. Click to open a popup displaying all the pages"", ""start_index"": 3821, ""end_index"": 3980}, {""content"": ""Off:Just hide all backlinks entirely"", ""start_index"": 3981, ""end_index"": 4017}]",raw_articles/article_14.txt
What types of menus can you customize in a Notion database?,"[{""content"": ""Customize your databaseTailor your database to your needs with lots of customization options to choose from"", ""start_index"": 1234, ""end_index"": 1341}]",raw_articles/article_15.txt
"What properties can you use to filter, sort, or search data in a Notion database?","[{""content"": ""Database properties add all kinds of context to your database items, like due dates, task owners, relevant URLs, last edited timestamps, and more. Use these properties to filter, sort, and search your data"", ""start_index"": 809, ""end_index"": 1014}]",raw_articles/article_15.txt
How can you customize the opening style of pages within different database views?,"[{""content"": ""Within each view, you can choose how you'd like database pages to open. There are three options:"", ""start_index"": 3336, ""end_index"": 3432}, {""content"": ""Side peek:Open pages on the right side of the database. The rest of the database view continues to be interactive on the left"", ""start_index"": 3432, ""end_index"": 3557}, {""content"": ""Center peek:Open pages in a focused, center modal"", ""start_index"": 3558, ""end_index"": 3607}, {""content"": ""Full page:Open pages as full pages directly"", ""start_index"": 3608, ""end_index"": 3651}, {""content"": ""To change the setting per view, click the \u2022\u2022\u2022 at the top right of your database, and open the Layout menu"", ""start_index"": 3652, ""end_index"": 3757}]",raw_articles/article_17.txt
How can you filter entries in a database view?,"[{""content"": ""To filter the entries you see in a database view:ClickFilterat the top of your database"", ""start_index"": 4182, ""end_index"": 4269}, {""content"": ""In the dropdown that appears, choose the property you'd like to filter by"", ""start_index"": 4270, ""end_index"": 4343}, {""content"": ""This filter will now show up at the top of your database"", ""start_index"": 4344, ""end_index"": 4400}, {""content"": ""Click the filter icon to see and edit all of the filters that have been applied to your database"", ""start_index"": 4402, ""end_index"": 4498}, {""content"": ""Add another filter by clicking the filter icon"", ""start_index"": 4499, ""end_index"": 4545}]",raw_articles/article_17.txt
How can you sort items in a database?,"[{""content"": ""You can sort your database so that items are displayed based on properties appearing in ascending or descending order"", ""start_index"": 5420, ""end_index"": 5537}, {""content"": ""For example, you can order them based on priority, or last edited, or alphabetically"", ""start_index"": 5538, ""end_index"": 5622}, {""content"": ""Click\u21c5at the top of your database"", ""start_index"": 5623, ""end_index"": 5656}, {""content"": ""In the dropdown that appears, choose the property you'd like to sort by"", ""start_index"": 5657, ""end_index"": 5728}, {""content"": ""This sort will now show up at the top of your database. Click to edit it"", ""start_index"": 5729, ""end_index"": 5801}]",raw_articles/article_17.txt
What types of database properties can record timestamps in Notion?,"[{""content"": ""Created timeRecords the timestamp of an item's creation. Auto-generated and not editable"", ""start_index"": 2011, ""end_index"": 2099}, {""content"": ""Last edited timeRecords the timestamp of an item's last edit. Auto-updated and not editable"", ""start_index"": 2197, ""end_index"": 2288}]",raw_articles/article_18.txt
How can you modify tags in Select or Multi-select properties within a database?,"[{""content"": ""ForSelectandMulti-selectproperties, you'll be prompted to add tags by typing what you want and pressing enter after each"", ""start_index"": 4711, ""end_index"": 4831}, {""content"": ""Edit tag names and colors, or delete them by clicking on the property field (i.e. the table cell), then\u2022\u2022\u2022that appears to the right when you hover over any property"", ""start_index"": 4921, ""end_index"": 5085}, {""content"": ""Reorder tags by grabbing the\u22ee\u22eeicon to their left and dragging"", ""start_index"": 5086, ""end_index"": 5147}]",raw_articles/article_18.txt
What can Notion AI do with files and images?,"[{""content"": ""Notion AI can do more than just work with text. It can tackle various file types, including PDFs and images"", ""start_index"": 5045, ""end_index"": 5152}, {""content"": ""Ask Notion AI to help with your files"", ""start_index"": 5324, ""end_index"": 5361}, {""content"": ""Use Notion AI to look at images"", ""start_index"": 5716, ""end_index"": 5747}, {""content"": ""Notion AI can only analyze files and images you directly upload to the chat"", ""start_index"": 6089, ""end_index"": 6164}]",raw_articles/article_19.txt
What are the methods to access Notion AI?,"[{""content"": ""Look for the circular icon with a face in the bottom-right corner of your Notion page to access AI knowledge right alongside the rest of your work"", ""start_index"": 1848, ""end_index"": 1994}, {""content"": ""Access Notion AI from the left sidebar under \""Search.\"" This automatically expands into a full page view"", ""start_index"": 1995, ""end_index"": 2098}, {""content"": ""Click the circle icon in the bottom right corner of your Notion page to open Notion AI"", ""start_index"": 2156, ""end_index"": 2242}, {""content"": ""For quick access on desktop, use the keyboard shortcutShift + Cmd + J(Mac) orShift + Ctrl + J(Windows) \u2014 that means your knowledge is accessible even outside of the Notion app"", ""start_index"": 2242, ""end_index"": 2417}]",raw_articles/article_19.txt
What are the benefits of implementing AI connectors in Notion for teams?,"[{""content"": ""AI connectors transform Notion into a centralized information hub,saving up to 10 minutes per question asked, enabling teams to make faster, more informed decisions"", ""start_index"": 4619, ""end_index"": 4783}, {""content"": ""Notion AI has the capability to recall that knowledge right when you need it, maximizing the creative impact of your team\u2019s innovation"", ""start_index"": 4943, ""end_index"": 5077}, {""content"": ""With AI seamlessly integrated into Notion, you can access the information you need without breaking your concentration, allowing you to stay in a productive flow state as long as you need"", ""start_index"": 5407, ""end_index"": 5594}]",raw_articles/article_20.txt
How can project managers adjust the scope of projects using timeline view?,"[{""content"": ""Grab one side of a project to easily adjust scope \u2014 or move it altogether"", ""start_index"": 1939, ""end_index"": 2012}, {""content"": ""Drag-and-drop to move projects or extend them\u2014 move all the pages on your timeline however's necessary, whether that's pushing a task until tomorrow, or dragging one side of a project page to give yourself an extra week to complete it"", ""start_index"": 4394, ""end_index"": 4628}]",raw_articles/article_21.txt
What advantages does timeline view offer for managing concurrent tasks?,"[{""content"": ""Full understanding of concurrent tasks and prioritization\u2014 parallel work streams help your team maintain shipping cadence"", ""start_index"": 2013, ""end_index"": 2134}, {""content"": ""Like a Gantt chart, timeline view shows you the overlapping nature of your projects or tasks, allowing you to prioritize P0 work"", ""start_index"": 2136, ""end_index"": 2264}]",raw_articles/article_21.txt
What are the methods for viewing properties in timeline view?,"[{""content"": ""View properties in your timeline by hitting\u2022\u2022\u2022, selectingProperties, and using the eye icon to indicate what you want to see"", ""start_index"": 3406, ""end_index"": 3530}, {""content"": ""You can show all, hide all, and add or delete properties in this same menu"", ""start_index"": 3532, ""end_index"": 3606}]",raw_articles/article_21.txt
What are some specific ways charts are used in Notion to manage projects?,"[{""content"": ""Create an OKR dashboard for your leadership teamCharts help visualizeOKRs, making it easier to track progress, enhance decision-making, and improve accountability"", ""start_index"": 5789, ""end_index"": 5951}, {""content"": ""Visualize what\u2019s coming with your product roadmapCharts offer a strategic view of yourproduct roadmap, enabling your team to allocate resources efficiently and prioritize features with precision"", ""start_index"": 6449, ""end_index"": 6643}, {""content"": ""Deepen understanding of your content libraryIf you manage yourcontent calendarin Notion, you can use charts to understand both in progress and published content at a glance"", ""start_index"": 6935, ""end_index"": 7107}]",raw_articles/article_22.txt
What is the duration of the lesson on writing and editing text in Notion?,"[{""content"": ""2:42Write and edit textLearn how to create and edit pages in Notion by making a simple personal task list"", ""start_index"": 302, ""end_index"": 407}]",raw_articles/article_23.txt
What lesson in Notion Academy's course aids in learning about database creation?,"[{""content"": ""DatabasesGet started with databases, one of Notion\u2019s most powerful features for organization, by creating a content calendar for a marketing team"", ""start_index"": 1015, ""end_index"": 1160}]",raw_articles/article_23.txt
How can one share pages in Notion according to the course?,"[{""content"": ""Page sharingLearn how to share pages in Notion with other individuals in your workspace, or publicly as websites"", ""start_index"": 763, ""end_index"": 875}]",raw_articles/article_23.txt
What skills are taught regarding text modification in Notion?,"[{""content"": ""Write and edit textLearn how to create and edit pages in Notion by making a simple personal task list"", ""start_index"": 182, ""end_index"": 283}]",raw_articles/article_24.txt
What is taught in the introductory lesson of Notion Academy?,"[{""content"": ""101: IntroductionWhat is Notion, plus everything you'll learn in this course"", ""start_index"": 94, ""end_index"": 170}]",raw_articles/article_24.txt
What can be done to organize sections on a page in Notion?,"[{""content"": ""Create sections using headings likeH1,H2orH3"", ""start_index"": 431, ""end_index"": 475}, {""content"": ""Add adividerto help organize your sections"", ""start_index"": 757, ""end_index"": 799}]",raw_articles/article_25.txt
What features of Notion allow for emphasis or tool access when editing text?,"[{""content"": ""Highlight any text to bring up a menu of options and tools"", ""start_index"": 476, ""end_index"": 534}, {""content"": ""From here you can style your text, add a hyperlink and more"", ""start_index"": 536, ""end_index"": 595}]",raw_articles/article_25.txt
What can be built using blocks in Notion?,"[{""content"": ""Everything that sits on a page is a block including text, images, and tables"", ""start_index"": 262, ""end_index"": 338}, {""content"": ""You can mix and match different blocks to create unique pages and tools for your team"", ""start_index"": 339, ""end_index"": 424}]",raw_articles/article_26.txt
What specific tools or features does Notion provide for managing projects?,"[{""content"": ""Learn how to create, manage, and customize projects in your workspace"", ""start_index"": 1215, ""end_index"": 1284}, {""content"": ""Learn how to use Notion's relations and rollups features to connect and view information across databases"", ""start_index"": 1310, ""end_index"": 1415}, {""content"": ""Learn how to integrate Notion with other tools using connected properties"", ""start_index"": 1440, ""end_index"": 1513}]",raw_articles/article_27.txt
What strategies are suggested for creating a connected workspace for different teams in Notion?,"[{""content"": ""Connected workspace for IT teamsSee how building a connected workspace can come together to ease the burden on foundational teams within your company"", ""start_index"": 1857, ""end_index"": 2006}, {""content"": ""Connected workspace for GTM teamsSee how building a connected workspace can come together to keep even the most complicated launch timelines in check"", ""start_index"": 2011, ""end_index"": 2160}, {""content"": ""Connected workspace for Engineering teamsSee how building a connected workspace can come together to keep all of the steps of your triage process in sync"", ""start_index"": 2165, ""end_index"": 2318}]",raw_articles/article_27.txt
What does the companion guide in the Notion course include?,"[{""content"": ""The guide also includes helpful frameworks and checklists from the Notion team to help you create your connected workspace!"", ""start_index"": 526, ""end_index"": 649}]",raw_articles/article_28.txt
What are the benefits of a connected workspace as presented by Notion Academy?,"[{""content"": ""Your AI-enabled workspace becomes more powerful when it\u2019s connected, comprehensive, and up-to-date"", ""start_index"": 203, ""end_index"": 301}]",raw_articles/article_28.txt
What is the first recommendation for starting to centralize workflows in Notion?,"[{""content"": ""Start centralizing your workflows by surveying your existing tools and importing data in Notion"", ""start_index"": 670, ""end_index"": 765}]",raw_articles/article_28.txt
What categories are used for tool classification in Notion?,"[{""content"": ""PlayThe first step to building a connected workspace is surveying your team's tool stack and categorizing tools into two categories:Replace: Docs and wiki tools, project management tools, AI writersIntegrate: Specialized tools, like Figma, Slack, and GitHub"", ""start_index"": 202, ""end_index"": 459}]",raw_articles/article_29.txt
How can you start importing content into Notion?,"[{""content"": ""Start an import in Notion through the \""import\"" button on the bottom left of your sidebar"", ""start_index"": 522, ""end_index"": 610}]",raw_articles/article_29.txt
What types of knowledge are housed in a General teamspace?,"[{""content"": ""General teamspace \u2192 Docs, Meetings, Wiki, and FAQs"", ""start_index"": 521, ""end_index"": 571}]",raw_articles/article_30.txt
What are the functions of databases in a connected workspace as described in the lesson?,"[{""content"": ""Databases are the key to organizing and managing different types of knowledge"", ""start_index"": 618, ""end_index"": 695}]",raw_articles/article_30.txt
What steps are advised to prepare for the upcoming lessons in Notion Academy?,"[{""content"": ""In the next few lessons, we\u2019ll build out a teamspace together. Create one for your team before moving on"", ""start_index"": 734, ""end_index"": 838}]",raw_articles/article_30.txt
What improvements does Notion AI offer for writing?,"[{""content"": ""Improve writing with Notion AIExplore ways that AI can help improve your writing"", ""start_index"": 386, ""end_index"": 466}]",raw_articles/article_31.txt
How can Notion AI enhance writing skills?,"[{""content"": ""Improving writing with AI \u2014 Notion AI can help with spelling and grammar mistakes, shorten paragraphs, clarify technical terms, and more"", ""start_index"": 347, ""end_index"": 483}]",raw_articles/article_32.txt
What features does Notion AI offer to assist in writing?,"[{""content"": ""Select prompts from the dropdown menu \u2014 like improve writing, fix spelling & grammar, change tone, translate, and more"", ""start_index"": 327, ""end_index"": 445}, {""content"": ""Or, ask AI any custom prompt \u2014 like finding and replacing text on a page"", ""start_index"": 446, ""end_index"": 518}]",raw_articles/article_33.txt
What are the key actions Notion AI can perform?,"[{""content"": ""Summarizing:highlight any text and Notion AI will summarize it"", ""start_index"": 403, ""end_index"": 465}, {""content"": ""Extracting insights:Notion AI can quickly analyze text-based data and identify common themes or patterns, allowing efficient learning from the data"", ""start_index"": 537, ""end_index"": 684}, {""content"": ""Generating text with page context:Notion AI can transform scrappy notes into coherent sentences like for performance reviews, job descriptions, and more"", ""start_index"": 685, ""end_index"": 837}]",raw_articles/article_34.txt
How can AI blocks be added to Notion pages?,"[{""content"": ""Add AI blocks to Notion pages by typing/aito incorporate custom prompts into your meeting notes templates and more"", ""start_index"": 838, ""end_index"": 952}]",raw_articles/article_34.txt
What are some uses for a website built in Notion?,"[{""content"": ""Any Notion page doubles as a publicly shareable website. Use them for your personal portfolio, startup job board, and much more"", ""start_index"": 167, ""end_index"": 294}]",raw_articles/article_35.txt
What are the capabilities of Notion Sites regarding domain management?,"[{""content"": ""Claim multiple domains, and manage all of your sites in one place"", ""start_index"": 470, ""end_index"": 535}]",raw_articles/article_36.txt
What instructions are given for building a website with Notion?,"[{""content"": ""Building a Website with NotionBuild a website starting with a template, understand the blocks that can be used, and customize your Site to suit your needs"", ""start_index"": 559, ""end_index"": 713}]",raw_articles/article_36.txt
What types of websites can you build using Notion?,"[{""content"": ""You can build a landing page, portfolio, or help center using Notion\u2019s powerful building blocks"", ""start_index"": 353, ""end_index"": 448}]",raw_articles/article_37.txt
What updates occur after changes are made to a published Notion page?,"[{""content"": ""Any changes made to the Notion page will automatically reflect on the public version, ensuring the content is always up-to-date"", ""start_index"": 701, ""end_index"": 828}]",raw_articles/article_38.txt
What features are configurable in the publish menu when publishing a Notion page to the web?,"[{""content"": ""Configure basic settings in the publish menu, including setting up a custom domain, enabling SEO indexing, and setting link expirations"", ""start_index"": 386, ""end_index"": 521}]",raw_articles/article_38.txt
What can you do to personalize a Notion site?,"[{""content"": ""Personalize your Notion site with visual customizations and editable link previews in the \""Site customizations\"" menu"", ""start_index"": 864, ""end_index"": 980}]",raw_articles/article_38.txt
What features does the Notion Academy course on project management offer for integrating external tools?,"[{""content"": ""connect GitHub, manage work in sprints, and more"", ""start_index"": 249, ""end_index"": 297}, {""content"": ""Integrate GitHub with your tasks database in Notion"", ""start_index"": 2015, ""end_index"": 2066}]",raw_articles/article_39.txt
How can tasks be organized in Notion according to the Notion Academy course?,"[{""content"": ""Add projects & tasksAdd a projects & tasks database to your workspace and streamline your project management processes"", ""start_index"": 695, ""end_index"": 813}, {""content"": ""Assign tasksAssign tasks to your team members and add task details to keep everyone on the same page"", ""start_index"": 987, ""end_index"": 1087}, {""content"": ""Organize tasksPersonalize your project management system by adding suggested properties to your tasks and projects to power create custom views and work the way you want to"", ""start_index"": 1092, ""end_index"": 1264}, {""content"": ""Connect work with relationsLearn how relations and rollups can organize and connect your projects, tasks, docs, and meeting notes for more streamlined work"", ""start_index"": 1648, ""end_index"": 1803}, {""content"": ""Manage tasks in sprintsManage sprints in Notion using the beta Sprints feature"", ""start_index"": 1808, ""end_index"": 1886}]",raw_articles/article_39.txt
What is the purpose of creating a proposal document in the Notion Projects course?,"[{""content"": ""Create a proposal document that will help you align all stakeholders and set the foundation for a successful project plan using Notion"", ""start_index"": 267, ""end_index"": 401}]",raw_articles/article_40.txt
What is the next lesson after the project plan introduction in the Notion Academy course?,"[{""content"": ""PlayUp nextCreate a project planCreate a proposal document that will help you align all stakeholders and set the foundation for a successful project plan using Notion"", ""start_index"": 235, ""end_index"": 401}]",raw_articles/article_40.txt
What is the purpose of creating a proposal document in Notion?,"[{""content"": ""Create a proposal document that will help you align all stakeholders and set the foundation for a successful project plan using Notion"", ""start_index"": 120, ""end_index"": 254}]",raw_articles/article_41.txt
What topics are covered in the Notion Academy course on scaling your team?,"[{""content"": ""Scaling your team: Page sharingLearn how to share pages in Notion with other individuals in your workspace, or publicly as websites"", ""start_index"": 411, ""end_index"": 542}, {""content"": ""Scaling your team: SidebarLearn how to find pages using the sidebar and customize it to meet your needs"", ""start_index"": 547, ""end_index"": 650}, {""content"": ""Scaling your team: Office manualApply learnings from past videos to build and share an office manual in your team\u2019s knowledge base"", ""start_index"": 655, ""end_index"": 785}, {""content"": ""Scaling your team: Database templatesLearn how to build and use database templates to streamline repetitive tasks"", ""start_index"": 790, ""end_index"": 903}, {""content"": ""Scaling your team: Advanced database propertiesAdvanced database properties can help managers and admins alike make sense of large databases \u2014 learn how to use them in your org"", ""start_index"": 908, ""end_index"": 1084}]",raw_articles/article_43.txt
What is the duration of the lesson on sidebar customization in the Notion Academy course?,"[{""content"": ""Scaling your team: SidebarLearn how to find pages using the sidebar and customize it to meet your needs.4:08"", ""start_index"": 547, ""end_index"": 655}]",raw_articles/article_43.txt
What is the next topic after the introduction in Notion's course on scaling your team?,"[{""content"": ""PlayUp nextScaling your team: Page sharingLearn how to share pages in Notion with other individuals in your workspace, or publicly as websites"", ""start_index"": 187, ""end_index"": 329}]",raw_articles/article_44.txt
What options are available for sharing pages in Notion?,"[{""content"": ""Learn how to share pages in Notion with other individuals in your workspace, or publicly as websites"", ""start_index"": 229, ""end_index"": 329}]",raw_articles/article_44.txt
What is the purpose of the Notion course mentioned?,"[{""content"": ""Scaling your team: IntroductionWelcome to Notion\u2019s course on scaling your team!"", ""start_index"": 108, ""end_index"": 187}]",raw_articles/article_44.txt
What are the categories of page visibility in Notion as described in the sidebar?,"[{""content"": ""There are sections in your sidebar:Teamspaces: pages shared with everyone in a teamspace"", ""start_index"": 404, ""end_index"": 492}, {""content"": ""Shared: pages shared by or with you, but not everyone"", ""start_index"": 493, ""end_index"": 546}, {""content"": ""Private: pages only you can see"", ""start_index"": 547, ""end_index"": 578}]",raw_articles/article_45.txt
How can a private page be shared with individual members in Notion?,"[{""content"": ""To share a private page with individual members, use theSharebutton"", ""start_index"": 579, ""end_index"": 646}]",raw_articles/article_45.txt
What are the benefits of having shared one-on-one docs in Notion?,"[{""content"": ""Shared one on one docs are a great way for managers and reports to stay connected"", ""start_index"": 740, ""end_index"": 821}]",raw_articles/article_45.txt
